name,new-domain,new-check,new-base,old-domain,old-check,old-base,old-uri,new-uri,old-fullurl,new-fullurl,old-fullurl,new-fullurl,old-fullurl,new-fullurl
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,k8s-advanced-parameters,run-cells-in-production/deploying-cells-in-a-distributed-environment/k8s-advanced-parameters,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,providing-ha-docker-compose,run-cells-in-production/deploying-cells-in-a-distributed-environment/providing-ha-with-docker-compose,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,troubleshooting,run-cells-in-production/troubleshooting,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,manage-users,connect-your-users/manage-users,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,cells-identity-provider,connect-your-users/single-sign-on-features/cells-as-identity-provider,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-using-sso-external-identity-provider,connect-your-users/single-sign-on-features/ent-using-sso-with-an-external-identity-provider,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-ldap-ad,connect-your-users/single-sign-on-features/ent-ldap-ad,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-ldap-ad-advanced,connect-your-users/single-sign-on-features/ent-ldap-ad-advanced,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-ad-kerberos-support,connect-your-users/single-sign-on-features/ent-ad-kerberos-support,,,,,,
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,users-teams-visibility,connect-your-users/users-teams-visibility,,,,,,
