name,new-domain,new-check,new-base,old-domain,old-check,old-base,old-uri,new-uri,old-fullurl,new-fullurl,incoming-uri,redirect-uri
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,major-versions-upgrade-informations,run-cells-in-production/upgrades/major-versions-upgrade-informations,,,en/docs/cells/v4/major-versions-upgrade-informations,cells-v4/admin-guide/run-cells-in-production/upgrades/major-versions-upgrade-informations
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,truncate-logs-audits,run-cells-in-production/operational-maintenance/truncate-logs-audits,,,en/docs/cells/v4/truncate-logs-audits,cells-v4/admin-guide/run-cells-in-production/operational-maintenance/truncate-logs-audits
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,purge-activities-notifications,run-cells-in-production/operational-maintenance/purge-activities-notifications,,,en/docs/cells/v4/purge-activities-notifications,cells-v4/admin-guide/run-cells-in-production/operational-maintenance/purge-activities-notifications
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,monitoring-tools,run-cells-in-production/operational-maintenance/monitoring-tools,,,en/docs/cells/v4/monitoring-tools,cells-v4/admin-guide/run-cells-in-production/operational-maintenance/monitoring-tools
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,backup-recover,run-cells-in-production/operational-maintenance/backup-recover,,,en/docs/cells/v4/backup-recover,cells-v4/admin-guide/run-cells-in-production/operational-maintenance/backup-recover
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,kubernetes-quick-install,run-cells-in-production/deploying-cells-in-a-distributed-environment/kubernetes-quick-install,,,en/docs/cells/v4/kubernetes-quick-install,cells-v4/admin-guide/run-cells-in-production/deploying-cells-in-a-distributed-environment/kubernetes-quick-install
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,going-stateless,run-cells-in-production/deploying-cells-in-a-distributed-environment/going-stateless,,,en/docs/cells/v4/going-stateless,cells-v4/admin-guide/run-cells-in-production/deploying-cells-in-a-distributed-environment/going-stateless
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,external-services,run-cells-in-production/deploying-cells-in-a-distributed-environment/external-services,,,en/docs/cells/v4/external-services,cells-v4/admin-guide/run-cells-in-production/deploying-cells-in-a-distributed-environment/external-services
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,configuring-urls,run-cells-in-production/deploying-cells-in-a-distributed-environment/configuring-with-urls,,,en/docs/cells/v4/configuring-urls,cells-v4/admin-guide/run-cells-in-production/deploying-cells-in-a-distributed-environment/configuring-with-urls
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,deploying-cells-nodes,run-cells-in-production/deploying-cells-in-a-distributed-environment/deploying-cells-nodes,,,en/docs/cells/v4/deploying-cells-nodes,cells-v4/admin-guide/run-cells-in-production/deploying-cells-in-a-distributed-environment/deploying-cells-nodes
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,migrating-single-node,run-cells-in-production/deploying-cells-in-a-distributed-environment/migrating-from-single-node,,,en/docs/cells/v4/migrating-single-node,cells-v4/admin-guide/run-cells-in-production/deploying-cells-in-a-distributed-environment/migrating-from-single-node
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,k8s-advanced-parameters,run-cells-in-production/deploying-cells-in-a-distributed-environment/k8s-advanced-parameters,,,en/docs/cells/v4/k8s-advanced-parameters,cells-v4/admin-guide/run-cells-in-production/deploying-cells-in-a-distributed-environment/k8s-advanced-parameters
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,providing-ha-docker-compose,run-cells-in-production/deploying-cells-in-a-distributed-environment/providing-ha-with-docker-compose,,,en/docs/cells/v4/providing-ha-docker-compose,cells-v4/admin-guide/run-cells-in-production/deploying-cells-in-a-distributed-environment/providing-ha-with-docker-compose
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,troubleshooting,run-cells-in-production/troubleshooting,,,en/docs/cells/v4/troubleshooting,cells-v4/admin-guide/run-cells-in-production/troubleshooting
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,manage-users,connect-your-users/manage-users,,,en/docs/cells/v4/manage-users,cells-v4/admin-guide/connect-your-users/manage-users
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,cells-identity-provider,connect-your-users/single-sign-on-features/cells-as-identity-provider,,,en/docs/cells/v4/cells-identity-provider,cells-v4/admin-guide/connect-your-users/single-sign-on-features/cells-as-identity-provider
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-using-sso-external-identity-provider,connect-your-users/single-sign-on-features/ent-using-sso-with-an-external-identity-provider,,,en/docs/cells/v4/ent-using-sso-external-identity-provider,cells-v4/admin-guide/connect-your-users/single-sign-on-features/ent-using-sso-with-an-external-identity-provider
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-ldap-ad,connect-your-users/single-sign-on-features/ent-ldap-ad,,,en/docs/cells/v4/ent-ldap-ad,cells-v4/admin-guide/connect-your-users/single-sign-on-features/ent-ldap-ad
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-ldap-ad-advanced,connect-your-users/single-sign-on-features/ent-ldap-ad-advanced,,,en/docs/cells/v4/ent-ldap-ad-advanced,cells-v4/admin-guide/connect-your-users/single-sign-on-features/ent-ldap-ad-advanced
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-ad-kerberos-support,connect-your-users/single-sign-on-features/ent-ad-kerberos-support,,,en/docs/cells/v4/ent-ad-kerberos-support,cells-v4/admin-guide/connect-your-users/single-sign-on-features/ent-ad-kerberos-support
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,users-teams-visibility,connect-your-users/users-teams-visibility,,,en/docs/cells/v4/users-teams-visibility,cells-v4/admin-guide/connect-your-users/users-teams-visibility
